id,name,emoji,type,ingredients,tags,reason
35,떡볶이,🌶️,분식,,plant|vegetable|korean|hot|spicy|rich|quick|delivery,자극적이고 친숙한 맛으로 기분 전환하기 좋아요.
36,라볶이,🍜,분식,,plant|vegetable|korean|hot|noodle|spicy|rich|quick,떡볶이와 라면을 함께 즐기는 분식 조합이에요.
37,라면,🍜,분식,,plant|vegetable|korean|hot|soup|noodle|spicy|quick|lateNight,간단하고 익숙한 얼큰함이 필요할 때 좋아요.
38,순대,🍖,분식,pork,pork|meat|korean|savory|quick|streetfood,분식이나 간단한 안주로 잘 어울리는 메뉴예요.
39,만두국,🥟,한식,pork,pork|meat|korean|hot|soup|mild|hearty,만두와 국물을 함께 즐기는 따뜻한 메뉴예요.
40,짬뽕,🍜,중식,seafood,seafood|chinese|hot|soup|noodle|spicy|hearty|delivery,얼큰한 국물과 면을 동시에 원할 때 가장 직접적인 선택이에요.
41,짜장면,🍜,중식,pork,pork|meat|chinese|noodle|savory|rich|quick|delivery,짭짤하고 진한 면 요리를 편하게 즐길 수 있어요.
42,탕수육,🍖,중식,pork,pork|meat|chinese|fried|crispy|tangy|delivery|drink,바삭한 고기와 새콤달콤한 맛이 특별한 기분을 줘요.
43,마라탕,🥘,중식,,plant|vegetable|chinese|hot|soup|spicy|rich|delivery,매운 강도와 재료를 조절하며 자극적인 만족감을 얻을 수 있어요.
44,마라샹궈,🔥,중식,,plant|vegetable|chinese|hot|spicy|rich|grilled|delivery|drink,국물 없이도 강렬하고 풍성한 맛을 즐길 수 있어요.
45,볶음밥,🍚,중식,egg,egg|chinese|hot|rice|savory|quick|solo,빠르게 먹기 좋고 고슬한 밥의 만족감이 있어요.
46,마파두부밥,🍚,중식,pork|tofu,pork|meat|tofu|plant|chinese|hot|rice|spicy|savory|quick,매콤한 두부 소스와 밥을 함께 먹기 좋아요.
47,탄탄면,🍜,중식,pork,pork|meat|chinese|hot|soup|noodle|spicy|rich,고소하고 매콤한 국물 면을 원할 때 좋아요.
48,우육면,🍜,중식,beef,beef|meat|chinese|hot|soup|noodle|rich|hearty,진한 고기 국물과 면으로 든든하게 먹을 수 있어요.
49,깐풍기,🍗,중식,chicken,chicken|meat|chinese|fried|crispy|spicy|savory|drink,매콤짭짤한 튀김 닭고기가 당길 때 좋아요.
50,유린기,🍗,중식,chicken,chicken|meat|chinese|fried|crispy|tangy|fresh|drink,바삭한 닭고기에 새콤한 소스가 더해져 산뜻해요.
51,크림새우,🍤,중식,seafood|dairy,seafood|dairy|cheesy|chinese|fried|crispy|creamy|rich|special,바삭한 새우와 크리미한 소스를 함께 즐겨요.
52,딤섬,🥟,중식,pork,pork|meat|chinese|mild|special|dining,다양한 한입 메뉴를 조금씩 즐기기 좋아요.
53,라멘,🍜,일식,pork,pork|meat|japanese|hot|soup|noodle|rich|hearty,진한 국물과 면으로 묵직한 만족감을 얻기 좋아요.
54,우동,🍜,일식,,plant|vegetable|japanese|hot|soup|noodle|mild|light,담백한 국물과 면으로 편안하게 먹을 수 있어요.
55,냉모밀,🍜,일식,,plant|vegetable|japanese|cold|noodle|mild|light|fresh,차갑고 담백한 면 요리를 원하는 날 잘 맞아요.
56,돈까스,🍛,일식,pork,pork|meat|japanese|fried|crispy|hearty|savory,바삭한 식감과 든든한 포만감을 함께 얻을 수 있어요.
57,치즈돈까스,🍛,일식,pork|dairy,pork|meat|dairy|cheesy|japanese|fried|crispy|creamy|rich|hearty,바삭함과 치즈의 고소함을 함께 즐길 수 있어요.
58,카츠동,🍚,일식,pork|egg,pork|meat|egg|japanese|hot|rice|fried|savory|hearty,"돈까스와 계란, 밥이 어우러진 든든한 메뉴예요."
59,규동,🍚,일식,beef,beef|meat|japanese|hot|rice|savory|quick,부드러운 고기와 밥을 간편하고 든든하게 즐겨요.
60,오야코동,🍚,일식,chicken|egg,chicken|meat|egg|japanese|hot|rice|mild|savory,닭고기와 계란이 부드럽게 어우러진 덮밥이에요.
61,텐동,🍤,일식,seafood,seafood|japanese|hot|rice|fried|crispy|hearty,바삭한 튀김과 밥의 조합이 좋은 메뉴예요.
62,초밥,🍣,일식,seafood,seafood|japanese|rice|fresh|light|special,깔끔하고 특별한 한 끼가 필요할 때 어울려요.
63,연어덮밥,🍣,일식,seafood,seafood|fresh|japanese|rice|light|special,신선한 재료와 밥을 산뜻하게 먹고 싶을 때 좋아요.
64,카레라이스,🍛,일식,beef,beef|meat|japanese|hot|rice|rich|mild|hearty,진한 카레와 밥으로 안정적인 포만감을 줘요.
65,오코노미야키,🥞,일식,pork|egg,pork|meat|egg|japanese|hot|grilled|savory|rich,철판에 구운 진한 풍미의 일본식 부침 메뉴예요.
66,타코야키,🐙,일식,seafood,seafood|japanese|hot|fried|savory|quick,한입 크기의 따뜻하고 짭짤한 간식형 메뉴예요.
67,야키소바,🍜,일식,pork,pork|meat|japanese|hot|noodle|grilled|savory|quick,달큰짭짤한 볶음 면으로 간편하게 먹기 좋아요.
68,크림 파스타,🍝,양식,dairy,dairy|cheesy|western|hot|noodle|creamy|rich|hearty,고소하고 꾸덕한 맛으로 기분을 풍성하게 만들어줘요.
69,토마토 파스타,🍝,양식,,plant|vegetable|western|hot|noodle|tangy|savory,산미와 감칠맛이 어우러진 면 요리를 즐길 수 있어요.
70,알리오 올리오,🍝,양식,,plant|vegetable|western|hot|noodle|savory|light,향긋하면서도 비교적 가볍게 파스타를 즐길 수 있어요.
71,봉골레 파스타,🍝,양식,seafood,seafood|western|hot|noodle|savory|light|fresh,조개 감칠맛이 살아 있는 깔끔한 파스타예요.
72,볼로네제,🍝,양식,beef,beef|meat|western|hot|noodle|rich|savory|hearty,고기 소스가 진하게 들어간 든든한 파스타예요.
73,로제 파스타,🍝,양식,dairy,dairy|cheesy|western|hot|noodle|creamy|tangy|rich,크림과 토마토의 균형 잡힌 맛을 즐길 수 있어요.
74,스테이크,🥩,양식,beef,beef|meat|western|hot|grilled|rich|hearty|special,고기 중심의 특별하고 만족도 높은 식사를 원할 때 좋아요.
75,함박스테이크,🥩,양식,beef|egg,beef|meat|egg|western|hot|grilled|savory|hearty,부드러운 고기와 소스로 든든하게 먹기 좋아요.
76,리조또,🍚,양식,dairy,dairy|cheesy|western|hot|rice|creamy|rich,부드럽고 고소한 쌀 요리를 원할 때 좋아요.
77,피자,🍕,양식,dairy,dairy|cheesy|western|rich|hearty|delivery|drink,풍부한 맛을 함께 나눠 먹거나 배달하기 좋아요.
78,햄버거,🍔,양식,beef,beef|meat|western|rich|hearty|quick|delivery,빠르고 든든하며 강한 풍미를 즐길 수 있어요.
79,치킨버거,🍔,양식,chicken,chicken|meat|western|fried|crispy|quick|delivery,바삭한 닭고기 패티가 들어간 버거예요.
80,샌드위치,🥪,브런치,,plant|vegetable|western|light|fresh|quick|solo|mild,빠르게 먹으면서도 부담 없는 구성이 필요할 때 좋아요.
81,오믈렛,🍳,브런치,egg,egg|western|hot|mild|light|brunch,부드러운 계란 요리로 가볍게 먹기 좋아요.
82,팬케이크,🥞,브런치,egg,egg|western|sweet|brunch|light,달콤한 식사나 브런치를 원할 때 좋아요.
83,치킨샐러드,🥗,샐러드,chicken,chicken|meat|vegetable|fresh|light|mild|quick,단백질과 채소를 가볍고 산뜻하게 챙길 수 있어요.
84,연어샐러드,🥗,샐러드,seafood,seafood|fresh|vegetable|light|cold|special,신선한 연어와 채소를 가볍게 즐겨요.
85,포케,🥗,하와이안,seafood,seafood|rice|vegetable|fresh|light|cold|quick,신선한 재료와 밥을 산뜻하게 먹고 싶을 때 좋아요.
86,쌀국수,🍜,동남아,beef,beef|meat|asian|hot|soup|noodle|mild|light|fresh,따뜻하지만 부담이 덜하고 깔끔한 국물을 즐길 수 있어요.
87,팟타이,🍜,동남아,seafood,seafood|asian|noodle|tangy|savory|special,새콤달콤한 풍미의 면 요리로 색다르게 먹기 좋아요.
88,나시고랭,🍚,동남아,chicken|egg,chicken|meat|egg|asian|hot|rice|spicy|savory|hearty,매콤하고 이국적인 볶음밥이 당길 때 좋아요.
89,분짜,🍜,동남아,pork,pork|meat|asian|cold|noodle|fresh|tangy|special,"새콤한 소스와 고기, 면을 함께 즐기는 베트남식 메뉴예요."
90,반미,🥖,동남아,pork,pork|meat|asian|fresh|quick|savory|special,"바게트와 고기, 채소를 함께 먹는 산뜻한 샌드위치예요."
91,월남쌈,🥬,동남아,,plant|vegetable|asian|fresh|light|special|mild,채소를 풍성하게 먹으며 가볍고 특별하게 즐길 수 있어요.
92,그린커리,🍛,동남아,chicken,chicken|meat|asian|hot|rice|spicy|creamy|rich,매콤하고 부드러운 코코넛 커리를 밥과 즐겨요.
93,똠얌꿍,🍲,동남아,seafood,seafood|asian|hot|soup|spicy|tangy|fresh,새콤매콤한 태국식 국물이 필요할 때 좋아요.
94,치킨,🍗,배달,chicken,chicken|meat|fried|crispy|rich|hearty|delivery|drink|lateNight,바삭한 음식과 가벼운 한잔이 필요한 날 잘 맞아요.
95,닭발,🌶️,야식,chicken,chicken|meat|korean|spicy|rich|delivery|drink|lateNight,매콤하고 강한 야식 안주가 필요할 때 좋아요.
96,참치찌개,🍲,한식,seafood,seafood|korean|hot|soup|stew|rice,뜨끈한 국물과 밥으로 든든하게 먹기 좋은 찌개 메뉴예요.
97,참치국밥,🍲,한식,seafood,seafood|korean|hot|soup|rice|hearty|solo,따뜻한 국물과 밥을 함께 먹는 든든한 한 그릇이에요.
98,참치덮밥,🍚,한식,seafood,seafood|korean|hot|rice|quick|solo,밥 위에 재료를 올려 간편하고 든든하게 먹기 좋아요.
99,참치볶음밥,🍚,중식,seafood,seafood|chinese|hot|rice|savory|quick,고슬한 밥과 재료를 볶아 빠르게 먹기 좋은 메뉴예요.
100,참치볶음면,🍜,아시안,seafood,seafood|asian|hot|noodle|grilled|savory|quick,국물 없이 볶아낸 면 요리가 당길 때 좋아요.
101,참치국수,🍜,한식,seafood,seafood|korean|noodle|light|quick,면 중심으로 가볍게 먹기 좋은 메뉴예요.
102,참치파스타,🍝,양식,seafood,seafood|western|hot|noodle|savory,면 요리 형태로 재료의 맛을 살려 먹기 좋은 메뉴예요.
103,참치샐러드,🥗,샐러드,seafood,seafood|vegetable|fresh|light|quick,신선한 재료를 중심으로 가볍게 먹기 좋아요.
104,참치샌드위치,🥪,브런치,seafood,seafood|western|fresh|quick|light,빵과 재료를 간편하게 먹기 좋은 메뉴예요.
105,참치구이,🥩,한식,seafood,seafood|korean|hot|grilled|savory|dining,구운 재료의 풍미를 살려 먹기 좋은 메뉴예요.
106,참치튀김,🍤,분식,seafood,seafood|fried|crispy|quick|savory,바삭한 식감이 필요할 때 좋은 메뉴예요.
107,참치카레,🍛,일식,seafood,seafood|japanese|hot|rice|rich|hearty,진한 카레 소스와 밥을 함께 먹는 든든한 메뉴예요.
108,돼지고기찌개,🍲,한식,pork,pork|meat|korean|hot|soup|stew|rice,뜨끈한 국물과 밥으로 든든하게 먹기 좋은 찌개 메뉴예요.
109,돼지고기국밥,🍲,한식,pork,pork|meat|korean|hot|soup|rice|hearty|solo,따뜻한 국물과 밥을 함께 먹는 든든한 한 그릇이에요.
110,돼지고기덮밥,🍚,한식,pork,pork|meat|korean|hot|rice|quick|solo,밥 위에 재료를 올려 간편하고 든든하게 먹기 좋아요.
111,돼지고기볶음밥,🍚,중식,pork,pork|meat|chinese|hot|rice|savory|quick,고슬한 밥과 재료를 볶아 빠르게 먹기 좋은 메뉴예요.
112,돼지고기볶음면,🍜,아시안,pork,pork|meat|asian|hot|noodle|grilled|savory|quick,국물 없이 볶아낸 면 요리가 당길 때 좋아요.
113,돼지고기국수,🍜,한식,pork,pork|meat|korean|noodle|light|quick,면 중심으로 가볍게 먹기 좋은 메뉴예요.
114,돼지고기파스타,🍝,양식,pork,pork|meat|western|hot|noodle|savory,면 요리 형태로 재료의 맛을 살려 먹기 좋은 메뉴예요.
115,돼지고기샐러드,🥗,샐러드,pork,pork|meat|vegetable|fresh|light|quick,신선한 재료를 중심으로 가볍게 먹기 좋아요.
116,돼지고기샌드위치,🥪,브런치,pork,pork|meat|western|fresh|quick|light,빵과 재료를 간편하게 먹기 좋은 메뉴예요.
117,돼지고기구이,🥩,한식,pork,pork|meat|korean|hot|grilled|savory|dining,구운 재료의 풍미를 살려 먹기 좋은 메뉴예요.
118,돼지고기튀김,🍤,분식,pork,pork|meat|fried|crispy|quick|savory,바삭한 식감이 필요할 때 좋은 메뉴예요.
119,돼지고기카레,🍛,일식,pork,pork|meat|japanese|hot|rice|rich|hearty,진한 카레 소스와 밥을 함께 먹는 든든한 메뉴예요.
120,소고기찌개,🍲,한식,beef,beef|meat|korean|hot|soup|stew|rice,뜨끈한 국물과 밥으로 든든하게 먹기 좋은 찌개 메뉴예요.
121,소고기국밥,🍲,한식,beef,beef|meat|korean|hot|soup|rice|hearty|solo,따뜻한 국물과 밥을 함께 먹는 든든한 한 그릇이에요.
122,소고기덮밥,🍚,한식,beef,beef|meat|korean|hot|rice|quick|solo,밥 위에 재료를 올려 간편하고 든든하게 먹기 좋아요.
123,소고기볶음밥,🍚,중식,beef,beef|meat|chinese|hot|rice|savory|quick,고슬한 밥과 재료를 볶아 빠르게 먹기 좋은 메뉴예요.
124,소고기볶음면,🍜,아시안,beef,beef|meat|asian|hot|noodle|grilled|savory|quick,국물 없이 볶아낸 면 요리가 당길 때 좋아요.
125,소고기국수,🍜,한식,beef,beef|meat|korean|noodle|light|quick,면 중심으로 가볍게 먹기 좋은 메뉴예요.
126,소고기파스타,🍝,양식,beef,beef|meat|western|hot|noodle|savory,면 요리 형태로 재료의 맛을 살려 먹기 좋은 메뉴예요.
127,소고기샐러드,🥗,샐러드,beef,beef|meat|vegetable|fresh|light|quick,신선한 재료를 중심으로 가볍게 먹기 좋아요.
128,소고기샌드위치,🥪,브런치,beef,beef|meat|western|fresh|quick|light,빵과 재료를 간편하게 먹기 좋은 메뉴예요.
129,소고기구이,🥩,한식,beef,beef|meat|korean|hot|grilled|savory|dining,구운 재료의 풍미를 살려 먹기 좋은 메뉴예요.
130,소고기튀김,🍤,분식,beef,beef|meat|fried|crispy|quick|savory,바삭한 식감이 필요할 때 좋은 메뉴예요.
131,소고기카레,🍛,일식,beef,beef|meat|japanese|hot|rice|rich|hearty,진한 카레 소스와 밥을 함께 먹는 든든한 메뉴예요.
132,닭고기찌개,🍲,한식,chicken,chicken|meat|korean|hot|soup|stew|rice,뜨끈한 국물과 밥으로 든든하게 먹기 좋은 찌개 메뉴예요.
133,닭고기국밥,🍲,한식,chicken,chicken|meat|korean|hot|soup|rice|hearty|solo,따뜻한 국물과 밥을 함께 먹는 든든한 한 그릇이에요.
134,닭고기덮밥,🍚,한식,chicken,chicken|meat|korean|hot|rice|quick|solo,밥 위에 재료를 올려 간편하고 든든하게 먹기 좋아요.
135,닭고기볶음밥,🍚,중식,chicken,chicken|meat|chinese|hot|rice|savory|quick,고슬한 밥과 재료를 볶아 빠르게 먹기 좋은 메뉴예요.
136,닭고기볶음면,🍜,아시안,chicken,chicken|meat|asian|hot|noodle|grilled|savory|quick,국물 없이 볶아낸 면 요리가 당길 때 좋아요.
137,닭고기국수,🍜,한식,chicken,chicken|meat|korean|noodle|light|quick,면 중심으로 가볍게 먹기 좋은 메뉴예요.
138,닭고기파스타,🍝,양식,chicken,chicken|meat|western|hot|noodle|savory,면 요리 형태로 재료의 맛을 살려 먹기 좋은 메뉴예요.
139,닭고기샐러드,🥗,샐러드,chicken,chicken|meat|vegetable|fresh|light|quick,신선한 재료를 중심으로 가볍게 먹기 좋아요.
140,닭고기샌드위치,🥪,브런치,chicken,chicken|meat|western|fresh|quick|light,빵과 재료를 간편하게 먹기 좋은 메뉴예요.
141,닭고기구이,🥩,한식,chicken,chicken|meat|korean|hot|grilled|savory|dining,구운 재료의 풍미를 살려 먹기 좋은 메뉴예요.
142,닭고기튀김,🍤,분식,chicken,chicken|meat|fried|crispy|quick|savory,바삭한 식감이 필요할 때 좋은 메뉴예요.
143,닭고기카레,🍛,일식,chicken,chicken|meat|japanese|hot|rice|rich|hearty,진한 카레 소스와 밥을 함께 먹는 든든한 메뉴예요.
144,새우찌개,🍲,한식,seafood,seafood|korean|hot|soup|stew|rice|fresh,뜨끈한 국물과 밥으로 든든하게 먹기 좋은 찌개 메뉴예요.
145,새우국밥,🍲,한식,seafood,seafood|korean|hot|soup|rice|hearty|solo|fresh,따뜻한 국물과 밥을 함께 먹는 든든한 한 그릇이에요.
146,새우덮밥,🍚,한식,seafood,seafood|korean|hot|rice|quick|solo|fresh,밥 위에 재료를 올려 간편하고 든든하게 먹기 좋아요.
147,새우볶음밥,🍚,중식,seafood,seafood|chinese|hot|rice|savory|quick|fresh,고슬한 밥과 재료를 볶아 빠르게 먹기 좋은 메뉴예요.
148,새우볶음면,🍜,아시안,seafood,seafood|asian|hot|noodle|grilled|savory|quick|fresh,국물 없이 볶아낸 면 요리가 당길 때 좋아요.
149,새우국수,🍜,한식,seafood,seafood|korean|noodle|light|quick|fresh,면 중심으로 가볍게 먹기 좋은 메뉴예요.
150,새우파스타,🍝,양식,seafood,seafood|western|hot|noodle|savory|fresh,면 요리 형태로 재료의 맛을 살려 먹기 좋은 메뉴예요.
151,새우샐러드,🥗,샐러드,seafood,seafood|vegetable|fresh|light|quick,신선한 재료를 중심으로 가볍게 먹기 좋아요.
152,새우샌드위치,🥪,브런치,seafood,seafood|western|fresh|quick|light,빵과 재료를 간편하게 먹기 좋은 메뉴예요.
153,새우구이,🥩,한식,seafood,seafood|korean|hot|grilled|savory|dining|fresh,구운 재료의 풍미를 살려 먹기 좋은 메뉴예요.
154,새우튀김,🍤,분식,seafood,seafood|fried|crispy|quick|savory|fresh,바삭한 식감이 필요할 때 좋은 메뉴예요.
155,새우카레,🍛,일식,seafood,seafood|japanese|hot|rice|rich|hearty|fresh,진한 카레 소스와 밥을 함께 먹는 든든한 메뉴예요.
156,연어찌개,🍲,한식,seafood,seafood|fresh|korean|hot|soup|stew|rice,뜨끈한 국물과 밥으로 든든하게 먹기 좋은 찌개 메뉴예요.
157,연어국밥,🍲,한식,seafood,seafood|fresh|korean|hot|soup|rice|hearty|solo,따뜻한 국물과 밥을 함께 먹는 든든한 한 그릇이에요.
158,연어볶음밥,🍚,중식,seafood,seafood|fresh|chinese|hot|rice|savory|quick,고슬한 밥과 재료를 볶아 빠르게 먹기 좋은 메뉴예요.
159,연어볶음면,🍜,아시안,seafood,seafood|fresh|asian|hot|noodle|grilled|savory|quick,국물 없이 볶아낸 면 요리가 당길 때 좋아요.
160,연어국수,🍜,한식,seafood,seafood|fresh|korean|noodle|light|quick,면 중심으로 가볍게 먹기 좋은 메뉴예요.
161,연어파스타,🍝,양식,seafood,seafood|fresh|western|hot|noodle|savory,면 요리 형태로 재료의 맛을 살려 먹기 좋은 메뉴예요.
162,연어샌드위치,🥪,브런치,seafood,seafood|fresh|western|quick|light,빵과 재료를 간편하게 먹기 좋은 메뉴예요.
163,연어구이,🥩,한식,seafood,seafood|fresh|korean|hot|grilled|savory|dining,구운 재료의 풍미를 살려 먹기 좋은 메뉴예요.
164,연어튀김,🍤,분식,seafood,seafood|fresh|fried|crispy|quick|savory,바삭한 식감이 필요할 때 좋은 메뉴예요.
165,연어카레,🍛,일식,seafood,seafood|fresh|japanese|hot|rice|rich|hearty,진한 카레 소스와 밥을 함께 먹는 든든한 메뉴예요.
166,해물찌개,🍲,한식,seafood,seafood|korean|hot|soup|stew|rice|fresh,뜨끈한 국물과 밥으로 든든하게 먹기 좋은 찌개 메뉴예요.
167,해물국밥,🍲,한식,seafood,seafood|korean|hot|soup|rice|hearty|solo|fresh,따뜻한 국물과 밥을 함께 먹는 든든한 한 그릇이에요.
168,해물덮밥,🍚,한식,seafood,seafood|korean|hot|rice|quick|solo|fresh,밥 위에 재료를 올려 간편하고 든든하게 먹기 좋아요.
169,해물볶음밥,🍚,중식,seafood,seafood|chinese|hot|rice|savory|quick|fresh,고슬한 밥과 재료를 볶아 빠르게 먹기 좋은 메뉴예요.
170,해물볶음면,🍜,아시안,seafood,seafood|asian|hot|noodle|grilled|savory|quick|fresh,국물 없이 볶아낸 면 요리가 당길 때 좋아요.
171,해물국수,🍜,한식,seafood,seafood|korean|noodle|light|quick|fresh,면 중심으로 가볍게 먹기 좋은 메뉴예요.
172,해물파스타,🍝,양식,seafood,seafood|western|hot|noodle|savory|fresh,면 요리 형태로 재료의 맛을 살려 먹기 좋은 메뉴예요.
173,해물샐러드,🥗,샐러드,seafood,seafood|vegetable|fresh|light|quick,신선한 재료를 중심으로 가볍게 먹기 좋아요.
174,해물샌드위치,🥪,브런치,seafood,seafood|western|fresh|quick|light,빵과 재료를 간편하게 먹기 좋은 메뉴예요.
175,해물구이,🥩,한식,seafood,seafood|korean|hot|grilled|savory|dining|fresh,구운 재료의 풍미를 살려 먹기 좋은 메뉴예요.
176,해물튀김,🍤,분식,seafood,seafood|fried|crispy|quick|savory|fresh,바삭한 식감이 필요할 때 좋은 메뉴예요.
177,해물카레,🍛,일식,seafood,seafood|japanese|hot|rice|rich|hearty|fresh,진한 카레 소스와 밥을 함께 먹는 든든한 메뉴예요.
178,버섯찌개,🍲,한식,,plant|vegetable|korean|hot|soup|stew|rice|mild|savory,뜨끈한 국물과 밥으로 든든하게 먹기 좋은 찌개 메뉴예요.
179,버섯국밥,🍲,한식,,plant|vegetable|korean|hot|soup|rice|hearty|solo|mild|savory,따뜻한 국물과 밥을 함께 먹는 든든한 한 그릇이에요.
180,버섯덮밥,🍚,한식,,plant|vegetable|korean|hot|rice|quick|solo|mild|savory,밥 위에 재료를 올려 간편하고 든든하게 먹기 좋아요.
181,버섯볶음밥,🍚,중식,,plant|vegetable|chinese|hot|rice|savory|quick|mild,고슬한 밥과 재료를 볶아 빠르게 먹기 좋은 메뉴예요.
182,버섯볶음면,🍜,아시안,,plant|vegetable|asian|hot|noodle|grilled|savory|quick|mild,국물 없이 볶아낸 면 요리가 당길 때 좋아요.
183,버섯국수,🍜,한식,,plant|vegetable|korean|noodle|light|quick|mild|savory,면 중심으로 가볍게 먹기 좋은 메뉴예요.
184,버섯파스타,🍝,양식,,plant|vegetable|western|hot|noodle|savory|mild,면 요리 형태로 재료의 맛을 살려 먹기 좋은 메뉴예요.
185,버섯샐러드,🥗,샐러드,,plant|vegetable|fresh|light|quick|mild|savory,신선한 재료를 중심으로 가볍게 먹기 좋아요.
